key,term,definition,same_as,uri
abbey,abbey (monastery),"An abbey (monastery) as defined by the Getty Art and Architecture Thesaurus: independent and canonically erected monasteries, ruled by an abbot if occupied by monks and by an abbess if occupied by nuns.",,https://pleiades.stoa.org/vocabularies/place-types/abbey
abbey-church,abbey church,An abbey church as defined by the Getty Art and Architecture Thesaurus: Churches that form the center of an abbey.,,https://pleiades.stoa.org/vocabularies/place-types/abbey-church
acropolis,acropolis,"An acropolis as defined by the Getty Art and Architecture Thesaurus term 300000700: ""The higher and usually fortified sections of ancient Greek cities, typically containing temples and some public buildings and used as places of refuge.""",,https://pleiades.stoa.org/vocabularies/place-types/acropolis
agora,agora,"An agora as defined by the Getty Art and Architecture Thesaurus: In ancient Greek settlements, open spaces used as marketplaces or general public meeting places.",,https://pleiades.stoa.org/vocabularies/place-types/agora
plaza,"agora, forum, plaza (deprecated)","An agora, forum, or other plaza-like civic space.",,https://pleiades.stoa.org/vocabularies/place-types/plaza
altar,altar,"An altar as defined by the Getty Art and Architecture Thesaurus: ""Elevated platforms or constructions upon which religious sacrifice is offered or other religious or spiritual activities carried out. In a Christian church altars are platforms where Eucharistic elements are consecrated, in the ancient tradition of a sacrifice. Includes both indoor small, tablelike fixtures and larger, free-standing, outdoor structures.""",,https://pleiades.stoa.org/vocabularies/place-types/altar
amphitheatre,"amphitheatre, amphitheater","An amphitheater as defined by the Getty Art and Architecture Thesaurus: ""Circular or elliptical structures in which a central performance area is surrounded by rising tiers of seats.""",,https://pleiades.stoa.org/vocabularies/place-types/amphitheatre
anchorage,anchorage,An anchorage as defined by the Getty Art and Architecture Thesaurus: Areas where vessals anchor.,,https://pleiades.stoa.org/vocabularies/place-types/anchorage
aqueduct,aqueduct,,,https://pleiades.stoa.org/vocabularies/place-types/aqueduct
arch,arch,"An arch as defined by the Getty Art and Architecture Thesaurus: Structural elements, typically curved, spanning openings and transmitting vertical loads to either side of the opening; also, structural elements or freestanding structures that resemble arches or act structurally like arches.",,https://pleiades.stoa.org/vocabularies/place-types/arch
archaeological-site,archaeological site,"An archaeological site as defined by the Getty Art and Architecture Thesaurus: Locations where human activities once took place and some form of material evidence has been left behind, particularly sites where evidence of past activity is being or has been investigated using the discipline of archaeology.",,https://pleiades.stoa.org/vocabularies/place-types/archaeological-site
archipelago,"archipelago, island group",Any grouping of islands or an archipelago that are treated as a unit in antiquity or in archaeological analysis.,,https://pleiades.stoa.org/vocabularies/place-types/archipelago
architecturalcomplex,architectural complex,"A group of rooms, spaces, built features or structures that make up an individual architectural unit within a larger building or group of buildings.",,https://pleiades.stoa.org/vocabularies/place-types/architecturalcomplex
archive-repository,archive repository,An archive repository as defined by the Getty Art and Architecture Thesaurus: buildings or rooms for long-term storage or depositing of archives or documents,,https://pleiades.stoa.org/vocabularies/place-types/archive-repository
barracks,barracks,Barracks as defined by the Getty Art and Architecture Thesaurus: Buildings or sets of buildings erected as common living quarters for groups of soldiers or workers.,,https://pleiades.stoa.org/vocabularies/place-types/barracks
