key,term,definition,lower_bound,upper_bound,same_as
paleolithic-middle-east,Paleolithic Middle East (2600000–18000 BC) (2600000 BC - 18000 BC),"ME [[-2600000,-18000]]",2600000 BC,18000 BC,http://n2t.net/ark:/99152/p03wskdz28z
copy_of_paleolithic-middle-east,Paleolithic Middle East (2600000–18000 BC) (2600000 BC - 18000 BC),"Middle East [[-2600000,-18000]]",2600000 BC,18000 BC,http://n2t.net/ark:/99152/p03wskdz28z
stone-age-oman,Stone Age Oman (125000–3200 BC) (125000 BC - 3200 BC),"Persian Gulf [[-125000,-3200]]",125000 BC,3200 BC,
mesolithic-levant,Mesolithic Levant (18000–9500 BC) (18000 BC - 9500 BC),"Epipaleolithic-Protoneolithic Levant, Kebaran-Natufian [[-18000,-9500]]",18000 BC,9500 BC,http://n2t.net/ark:/99152/p03wskdfrrp
mesolithic-middle-east,Mesolithic Middle East (18000–9000 BC) (18000 BC - 9000 BC),"Epipaleolithic-Protoneolithic ME [[-18000,-9000]]",18000 BC,9000 BC,http://n2t.net/ark:/99152/p03wskd23gj
copy_of_mesolithic-middle-east,Mesolithic Middle East (18000–9000 BC) (18000 BC - 9000 BC),"Epipaleolithic-Protoneolithic ME [[-18000,-9000]]",18000 BC,9000 BC,http://n2t.net/ark:/99152/p03wskd23gj
mesolithic-europe-13-000-8-000-bc,"Mesolithic Europe (13,000-8,000 BC) (13000 BC - 8000 BC)","The cultural period lying between paleolithic and neolithic, as described at https://en.wikipedia.org/wiki/Mesolithic [[-13000,-8000]]",13000 BC,8000 BC,
natufian-levant,Natufian Levant (12500–9500 BC) (12500 BC - 9500 BC),"Levant [[-12500,-9500]]",12500 BC,9500 BC,
neolithic-eastern-med,"Neolithic Period in the Eastern Mediterranean (ca. 10,000-3,300 BC) (10000 BC - 3300 BC)","The so-called ""Neolithic"" or ""New Stone Age"" period as defined in the Eastern portion of the Mediterranean basin, lasting roughly from 10,000 - 3,300 BC. See further: http://ancienthistory.about.com/od/artarchaeologyarchitect/g/neolithic.htm [[-10000, -3300]]",10000 BC,3300 BC,http://n2t.net/ark:/99152/p03wskdw46d
pre-pottery-neolithic-middle-east,Pre-Pottery Neolithic Middle East (9000–6000 BC) (9000 BC - 6000 BC),"Aceramic Neolithic ME [[-9000,-6000]]",9000 BC,6000 BC,http://n2t.net/ark:/99152/p03wskdgn3q
neolithic-middle-east,Neolithic Middle East (9000–4500 BC) (9000 BC - 4500 BC),"ME [[-9000,-4500]]",9000 BC,4500 BC,http://n2t.net/ark:/99152/p03wskdjw3b
ubaid,Ubaid period in Mesopotamia (ca. 6500 to 3800 BC) (6500 BC - 3800 BC),"The prehistoric Ubaid period of Mesopotamia, as defined by Wikipedia following Carter, Robert A. and Philip, Graham Beyond the Ubaid: Transformation and Integration in the Late Prehistoric Societies of the Middle East (Studies in Ancient Oriental Civilization, Number 63) The Oriental Institute of the University of Chicago (2010) ISBN 978-1-885923-66-0 p.2, at http://oi.uchicago.edu/research/pubs/catalog/saoc/saoc63.html [[-6500, -3800]]",6500 BC,3800 BC,http://n2t.net/ark:/99152/p03wskdrkh7
